drug_name,moa,moa_class,jump_di,lincs_di,Metadata_JCP2022
equol,estrogen receptor agonist,other,0.9112725052584983,0.9257190972566604,JCP2022_000632
tranylcypromine,monoamine oxidase inhibitor,other,0.8403957440000313,0.962023738771677,JCP2022_000856
sulconazole,sterol demethylase inhibitor,other,0.7916787768863408,0.8538244664669037,JCP2022_001075
quinethazone,thiazide diuretic,other,0.9812444082442366,0.9514108039438725,JCP2022_001265
BVT-948,tyrosine phosphatase inhibitor,other,0.814273904187072,0.7954165637493134,JCP2022_001890
SB-334867,orexin receptor antagonist,other,0.8610608349031721,0.8969013169407845,JCP2022_002010
ZK-93423,benzodiazepine receptor agonist,receptor,0.6220580878964206,0.9261776953935624,JCP2022_002118
metolazone,carbonic anhydrase inhibitor,other,1.0057066641898367,0.9757749829441308,JCP2022_003070
propranolol,adrenergic receptor antagonist,receptor,1.067745338085555,0.91413614153862,JCP2022_003111
nifurtimox,DNA inhibitor,other,0.8954899269562531,0.9636060446500778,JCP2022_003280
irsogladine,phosphodiesterase inhibitor,other,1.010583665678079,0.9223054125905036,JCP2022_003677
voriconazole,cytochrome P450 inhibitor,other,0.9432659120461601,0.9194908887147905,JCP2022_005362
SGX523,hepatocyte growth factor receptor inhibitor,other,0.9053682050911717,0.9408310763537884,JCP2022_005529
zamifenacin,acetylcholine receptor antagonist,receptor,0.6382577673332133,0.9700697995722294,JCP2022_005628
lacidipine,calcium channel blocker,receptor,0.8777167979093695,0.897161528468132,JCP2022_006292
ENMD-2076,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor,kinase,0.8320641053154294,0.8237342089414597,JCP2022_007138
nabumetone,cyclooxygenase inhibitor,other,0.9573226744206091,0.8553500473499298,JCP2022_007196
marbofloxacin,bacterial DNA gyrase inhibitor,other,0.6605562709579075,1.0016624620184302,JCP2022_007783
formoterol,adrenergic receptor agonist,receptor,0.6925506811555588,0.9246350824832916,JCP2022_007934
clorgiline,monoamine oxidase inhibitor,other,0.8552713905201496,0.9628406539559364,JCP2022_008513
piperacetazine,dopamine receptor antagonist,receptor,0.534428304809002,0.9601311422884464,JCP2022_008514
memantine,glutamate receptor antagonist,receptor,0.8826724605629251,0.9050987735390664,JCP2022_008727
clebopride,dopamine receptor antagonist,receptor,0.8926660601784583,0.9544068537652493,JCP2022_008959
tetrahydrozoline,adrenergic receptor agonist,receptor,0.9321398917998456,0.9570101760327816,JCP2022_009475
propoxycaine,local anesthetic,other,0.8909632506404994,0.9735012818127872,JCP2022_009839
reboxetine,adrenergic receptor antagonist,receptor,0.9614109942754956,0.951578300446272,JCP2022_010065
SB-203580,p38 MAPK inhibitor,kinase,0.5063213685857375,0.9469060637056828,JCP2022_010404
aripiprazole,serotonin receptor agonist|serotonin receptor antagonist,receptor,0.8309294003314333,0.900504432618618,JCP2022_010654
cilomilast,phosphodiesterase inhibitor,other,0.906766739810602,0.9285868853330612,JCP2022_010699
oxybuprocaine,local anesthetic,other,1.0001182530048718,0.992106723599136,JCP2022_012064
cyclophosphamide,DNA alkylating agent,machinery,0.8882042548079168,0.9553556255996228,JCP2022_012146
naproxen,cyclooxygenase inhibitor,other,1.0575909951978484,0.9558031633496284,JCP2022_012183
naphazoline,adrenergic receptor agonist,receptor,0.9717454424606443,0.9610306099057198,JCP2022_012266
oxcarbazepine,sodium channel blocker,receptor,0.6168817973950671,0.9277822822332382,JCP2022_013346
pazopanib,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,kinase,0.6159097308130776,0.953071404248476,JCP2022_013455
buparlisib,PI3K inhibitor,kinase,0.7309717174294298,0.8800141960382462,JCP2022_013856
finasteride,5 alpha reductase inhibitor,other,0.9850123024010403,0.9603582471609116,JCP2022_014806
cisapride,serotonin receptor agonist,receptor,0.6644974865541892,0.9609503634274006,JCP2022_015087
vinpocetine,phosphodiesterase inhibitor|sodium channel blocker,receptor,0.7619144280804568,0.9490047432482244,JCP2022_015225
SB-525334,TGF beta receptor inhibitor,other,0.4926380606285121,0.9195186570286752,JCP2022_016549
ketoprofen,cyclooxygenase inhibitor,other,0.9396149884619881,0.970856050029397,JCP2022_016618
hydroflumethiazide,sodium/potassium/chloride transporter inhibitor,other,0.9381369330661988,0.8947772234678268,JCP2022_016807
BX-912,pyruvate dehydrogenase kinase inhibitor,other,0.7169348225210004,0.81064572930336,JCP2022_016871
SRC-kinase-inhibitor-I,SRC inhibitor,kinase,0.5996394634637479,0.975421654060483,JCP2022_016935
GW-9662,PPAR receptor antagonist,other,0.8411304430276529,0.97198885679245,JCP2022_017067
pargyline,monoamine oxidase inhibitor,other,0.882696471685826,0.960389979183674,JCP2022_017478
practolol,adrenergic receptor antagonist,receptor,0.951489810694593,0.9485932849347593,JCP2022_018323
